column city,city name,country
CITY1,ABUDHABI,UNITED ARAB EMIRATES
CITY1,ADDIS ABABA,ETHIOPIA
CITY1,ADEN,YEMEN
CITY1,AL AIN,UNITED ARAB EMIRATES
CITY1,ALMATY,KAZAKHSTAN
CITY1,AMSTERDAM,NETHERLANDS
CITY1,ASHGABAT,TURKMENISTAN
CITY1,BAHRAIN,BAHRAIN
CITY1,BANGKOK,THAILAND
CITY1,BIRMINGHAM,UNITED KINGDOM
CITY1,BISHKEK,KYRGYZSTAN
CITY1,BRUSELLS,BELGIUM
CITY1,CAIRO,EGYPT
CITY1,CHICAGO,UNITED STATES
CITY1,CHITTAGONG,BANGLADESH
CITY1,COLOGNE,GERMANY
CITY1,COLOMBO,SRI LANKA
CITY1,DAMMAM,SAUDI ARABIA
CITY1,DHAKA,BANGLADESH
CITY1,DOHA,QATAR
CITY1,DUBAI,UNITED ARAB EMIRATES
CITY1,DUSHANBE,TAJIKISTAN
CITY1,FRANKFURT,GERMANY
CITY1,GUANGZHOU,CHINA
CITY1,HAA DHAALU ATOLL,MALDIVES
CITY1,HELNSKI,FINLAND
CITY1,HO CHI MINH CITY,VIETNAM
CITY1,HONG KONG,HONG KONG
CITY1,ISTANBUL,TURKEY
CITY1,JEDDAH,SAUDI ARABIA
CITY1,JOHANNESBERG,SOUTH AFRICA
CITY1,KABUL,AFGHANISTAN
CITY1,KARACHI,PAKISTAN
CITY1,KATHMANDU,NEPAL
CITY1,KUALALUMPUR,MALAYSIA
CITY1,KUNMING,CHINA
CITY1,KUWAIT,KUWAIT
CITY1,LAHORE,PAKISTAN
CITY1,LEIPZIG,GERMANY
CITY1,LONDON,UNITED KINGDOM
CITY1,LUXEMBOURG,Wielkie Ksi?stwo Luksemburga
CITY1,MALE,MALDIVES
CITY1,MALPENSA,ITALY
CITY1,MANDALAY,BURMA
CITY1,MARUITIUS,MAURITIUS
CITY1,MEDINA,SAUDI ARABIA
CITY1,MELBOURNE,AUSTRALIA
CITY1,MOSCOW,RUSSIA
CITY1,MUENCHEN,GERMANY
CITY1,MUSCAT,OMAN
CITY1,NAIROBI,KENYA
CITY1,NARITA,JAPAN
CITY1,NAVOI,UZBEKISTAN
CITY1,NEW YORK,UNITED STATES
CITY1,NEWARK,UNITED STATES
CITY1,OSAKA,JAPAN
CITY1,PARIS,FRANCE
CITY1,PARO,BHUTAN
CITY1,PEKING,CHINA
CITY1,RANGOON,BURMA
CITY1,RIYADH,SAUDI ARABIA
CITY1,ROME,ITALY
CITY1,SALALAH,OMAN
CITY1,SANAA,YEMEN
CITY1,SEOUL,KOREA
CITY1,SEYCHELLES,SEYCHELLES
CITY1,SHANGHAI,CHINA
CITY1,SHARJAH,UNITED ARAB EMIRATES
CITY1,SHENZHEN,CHINA
CITY1,SINGAPORE,SINGAPORE
CITY1,SYDNEY,AUSTRALIA
CITY1,TAIPAE,TAIWAN
CITY1,TASHKENT,UZBEKISTAN
CITY1,TEHRAN,ISRAEL
CITY1,TELAVIV,ISRAEL
CITY1,TOKYO,JAPAN
CITY1,TORONTO,CANADA
CITY1,VIENNA,AUSTRIA
CITY1,ZURICH,SWITZERLAND
CITY1,BAGHDAD,IRAQ
CITY1,REUNION,REUNION
CITY1,DON MUEANG,THAILAND
CITY1,KANDAHAR,AFGHANISTAN
CITY1,MANCHESTER,UNITED KINGDOM
CITY1,SAN FRANCISCO,UNITED STATES
CITY1,BASRA,IRAQ
CITY1,RASALKHAMA,UNITED ARAB EMIRATES
CITY1,ANTALYA,TURKEY
CITY1,BAKU,AZERBAIJAN
CITY1,MADRID,SPAIN
CITY1,MASHHAD,IRAN
CITY1,TANGERANG,INDONESIA
CITY1,VANCOUVER,CANADA
CITY2,AHMEDABAD,INDIA
CITY2,BENGALURU,INDIA
CITY2,CHENNAI,INDIA
CITY2,DELHI,INDIA
CITY2,GOA,INDIA
CITY2,HYDERABAD,INDIA
CITY2,JAIPUR,INDIA
CITY2,KOCHI,INDIA
CITY2,KOLKATA,INDIA
CITY2,KOZHIKODE,INDIA
CITY2,LUCKNOW,INDIA
CITY2,MANGALORE,INDIA
CITY2,MUMBAI,INDIA
CITY2,PUNE,INDIA
CITY2,TRIVANDRUM,INDIA
CITY2,AMRITSAR,INDIA
CITY2,GAYA,INDIA
CITY2,VARANASI,INDIA
CITY2,MADURAI,INDIA
CITY2,TIRUCHIRAPALLY,INDIA
CITY2,VISAKHAPATNAM,INDIA
CITY2,COIMBATORE,INDIA
CITY2,NAGPUR,INDIA
CITY2,CHANDIGARH,INDIA
