column city;city name;country;latitude_logitude [szerosc_dlugosc];latitude [szer];longitude[dl]
CITY1;ABUDHABI;UNITED ARAB EMIRATES;24ø28?N 54ø22?E;24ø28?N; 54ø22?E
CITY1;ADDIS ABABA;ETHIOPIA;9ø1?48?N 38ø44?24?E;9ø1?48?N; 38ø44?24?E
CITY1;ADEN;YEMEN;12ø48?N 45ø02?E;12ø48?N; 45ø02?E
CITY1;AL AIN;UNITED ARAB EMIRATES;24ø12?27?N 55ø44?41?E;24ø12?27?N; 55ø44?41?E
CITY1;ALMATY;KAZAKHSTAN;43ø16?39?N 76ø53?45?E;43ø16?39?N; 76ø53?45?E
CITY1;AMSTERDAM;NETHERLANDS;52ø22?22?N 04ø53?37?E;52ø22?22?N; 04ø53?37?E
CITY1;ASHGABAT;TURKMENISTAN;37ø58?N 58ø20?E;37ø58?N; 58ø20?E
CITY1;BAHRAIN;BAHRAIN;26,06750øN 50,55111øE;26,06750øN; 50,55111øE
CITY1;BANGKOK;THAILAND;13ø45?N 100ø31?E ;13ø45?N; 100ø31?E 
CITY1;BIRMINGHAM;UNITED KINGDOM;52ø28?48?N 1ø54?9?W;52ø28?48?N; 1ø54?9?W
CITY1;BISHKEK;KYRGYZSTAN;42ø52?N 74ø34?E;42ø52?N; 74ø34?E
CITY1;BRUSELLS;BELGIUM;50ø50?N 4ø21?E;50ø50?N; 4ø21?E
CITY1;CAIRO;EGYPT;30ø2?40?N 31ø14?9?E;30ø2?40?N; 31ø14?9?E
CITY1;CHICAGO;UNITED STATES;41ø52?55?N 87ø37?40?W;41ø52?55?N; 87ø37?40?W
CITY1;CHITTAGONG;BANGLADESH;22ø19?N 91ø49?E;22ø19?N; 91ø49?E
CITY1;COLOGNE;GERMANY;50ø56?N 6ø57?E ;50ø56?N; 6ø57?E 
CITY1;COLOMBO;SRI LANKA;6ø54?N 79ø50?E;6ø54?N; 79ø50?E
CITY1;DAMMAM;SAUDI ARABIA;26ø17?N 50ø12?E;26ø17?N; 50ø12?E
CITY1;DHAKA;BANGLADESH;23ø44?N 90ø23?E ;23ø44?N; 90ø23?E 
CITY1;DOHA;QATAR;25ø18?N 51ø32?E ;25ø18?N; 51ø32?E 
CITY1;DUBAI;UNITED ARAB EMIRATES;25ø16?N 55ø20?E ;25ø16?N; 55ø20?E 
CITY1;DUSHANBE;TAJIKISTAN;38ø33?N 68ø48?E;38ø33?N; 68ø48?E
CITY1;FRANKFURT;GERMANY;50ø06?38?N 08ø40?56?E;50ø06?38?N; 08ø40?56?E
CITY1;GUANGZHOU;CHINA;23ø06?32?N 113ø15?53?E;23ø06?32?N; 113ø15?53?E
CITY1;HAA DHAALU ATOLL;MALDIVES;6ø 48' N and 6ø 30' N;6ø 48' N; and 6ø 30' 
CITY1;HELNSKI;FINLAND;60ø10?N 24ø56?E;60ø10?N; 24ø56?E
CITY1;HO CHI MINH CITY;VIETNAM;10ø45?N 106ø40?E;10ø45?N; 106ø40?E
CITY1;HONG KONG;HONG KONG;22ø17?N 114ø10?E ;22ø17?N; 114ø10?E 
CITY1;ISTANBUL;TURKEY;41ø00?49?N 28ø57?18?E;41ø00?49?N; 28ø57?18?E
CITY1;JEDDAH;SAUDI ARABIA;21ø30?N 39ø11?E;21ø30?N; 39ø11?E
