Strefa,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
A_okołobiegunowa (N),-0.15,0.44,-0.16,-0.66,-0.28,-0.76,0.36,-0.33,-0.04,-0.21,-0.08,-0.36,0.07,-0.19,0.1,-0.07,0.16,-0.16,-0.6,0.26,1.09,-0.4,0.19,0.36,0.39,0.01,-0.36,0.59,0.33,0.58,0.75,-0.17,0.54,0.34,1.31,0.77,0.76,0.86,0.4,0.97,1.06,1.25,1.49,0.46,1.98,1.73,2.1,1.53,1.41,2.21,2.34,2.2,1.54,2.02,2.0,3.23,2.5,2.13,2.7
B_umiarkowana (N),0.38,0.31,0.31,-0.2,-0.24,-0.19,0.26,-0.02,-0.61,-0.13,0.01,-0.47,0.27,-0.07,0.39,-0.32,0.24,0.04,0.07,0.02,0.78,0.09,0.69,0.08,-0.27,0.28,0.13,0.57,0.69,0.88,0.66,0.44,0.29,0.5,0.98,0.16,0.9,0.94,0.8,0.8,0.86,1.0,0.98,0.95,1.22,1.05,1.32,1.07,0.6,0.86,0.93,0.92,1.04,1.14,1.48,1.43,1.38,1.09,1.43
C_podzwrotnikowa (N),0.20,0.2,0.19,-0.14,-0.15,0.05,-0.03,-0.05,-0.2,-0.1,-0.05,-0.30,0.10,-0.10,0.15,-0.30,0.16,-0.00,0.09,0.02,0.18,-0.02,0.2,-0.13,-0.01,0.03,0.12,0.24,0.25,0.49,0.32,-0.03,-0.11,0.42,0.32,0.1,0.23,0.65,0.74,0.55,0.68,0.58,0.54,0.66,0.57,0.8,0.69,0.61,0.68,0.74,0.58,0.74,0.75,0.78,1.17,1.20,1.15,1.06,1.03
D_zwrotnikowa (N),0.18,0.14,0.13,-0.12,-0.12,0.08,-0.05,-0.09,-0.17,-0.06,-0.1,-0.25,0.02,-0.18,-0.05,-0.28,0.06,-0.04,0.09,0.02,0.08,-0.08,-0.07,-0.13,-0.01,0.03,0.12,0.24,0.25,0.49,0.26,-0.03,-0.11,0.42,0.32,0.1,0.23,0.65,0.74,0.55,0.68,0.58,0.54,0.66,0.57,0.7,0.69,0.61,0.68,0.74,0.58,0.74,0.69,0.73,0.99,1.07,1.03,1.05,0.99
E_równikowa,-0.03,-0.05,0.12,-0.14,-0.03,0.08,-0.14,-0.07,0.33,0.06,-0.26,0.16,0.19,-0.2,-0.24,-0.11,0.16,0.08,0.26,0.31,0.18,0.27,0.43,0.19,0.09,0.23,0.59,0.38,0.13,0.37,0.36,0.28,0.32,0.31,0.43,0.32,0.51,0.7,0.21,0.25,0.42,0.6,0.64,0.55,0.62,0.56,0.46,0.38,0.68,0.69,0.37,0.53,0.58,0.67,0.96,1.02,0.82,0.68,0.9
F_zwrotnikowa (S),0.14,0.09,-0.1,-0.3,-0.23,-0.24,-0.09,-0.14,0.0,0.11,0.03,0.16,0.22,0.22,0.13,0.1,0.22,0.21,0.3,0.35,0.29,0.19,0.21,0.16,0.3,0.25,0.32,0.38,0.36,0.38,0.31,0.2,0.27,0.27,0.29,0.33,0.42,0.39,0.47,0.42,0.58,0.5,0.44,0.48,0.49,0.51,0.5,0.53,0.6,0.63,0.64,0.56,0.63,0.73,0.75,0.67,0.76,0.8,0.75
G_podzwrotnikowa (S),0.12,0.05,-0.14,-0.25,-0.19,-0.24,-0.05,-0.09,0.0,0.08,0.09,0.12,0.20,0.15,0.13,0.19,0.28,0.18,0.3,0.35,0.35,0.25,0.31,0.16,0.3,0.25,0.32,0.38,0.36,0.38,0.30,0.2,0.27,0.27,0.29,0.33,0.42,0.35,0.47,0.38,0.54,0.5,0.41,0.43,0.45,0.48,0.5,0.53,0.6,0.63,0.64,0.56,0.59,0.70,0.69,0.60,0.76,0.95,0.65
H_umiarkowana (S),-0.17,-0.08,-0.17,-0.07,-0.03,-0.14,-0.02,0.0,0.13,0.03,0.16,-0.02,0.08,-0.08,0.14,0.22,0.31,0.13,0.33,0.37,0.39,0.32,0.41,0.32,0.44,0.25,0.25,0.2,0.3,0.37,0.29,0.33,0.39,0.23,0.15,0.28,0.36,0.31,0.19,0.1,0.24,0.32,0.24,0.23,0.18,0.19,0.07,0.09,0.15,0.2,0.18,0.19,0.22,0.18,0.18,0.25,0.35,0.37,0.39
I_okołobiegunowa (S),0.21,-0.65,-0.03,-0.38,-0.01,0.11,0.3,-0.08,-0.14,0.31,0.44,0.45,0.34,0.65,0.29,-0.24,0.28,0.04,-0.2,0.59,0.61,-0.11,0.05,0.51,0.04,-0.11,0.0,0.88,0.36,0.35,0.95,0.4,-0.31,-0.04,0.14,1.19,-0.04,0.11,0.0,0.26,0.25,0.75,0.38,-0.05,0.65,0.41,1.21,0.58,0.95,0.5,1.09,0.42,0.86,0.56,-0.3,0.4,0.55,0.97,0.86
J_pozostałe_strefy_(N),.19,.24,.14,-.23,-.19,-.14,.12,-.11,-.29,-.11,-.06,-.34,.11,-.14,.12,-.26,.14,-.03,-.03,.06,.48,-.08,.22,.02,-.03,.11,.04,.40,.41,.63,.47,.09,.13,.43,.70,.23,.53,.78,.70,.70,.80,.83,.84,.72,1.01,.98,1.12,.91,.77,1.02,.98,1.04,.94,1.07,1.31,1.54,1.38,1.24,1.41
